location_id,location_name,longitude,latitude,poi_id,temperature,conditions,update_time
1,黄浦区,121.48442,31.231661,,15.8,晴,2025/12/24 10:00
2,长宁区,121.424751,31.220537,,15.2,多云,2025/12/24 10:00
3,普陀区,121.39547,31.249618,,14.9,多云,2025/12/24 10:00
4,静安区,121.447348,31.227718,,15.6,晴,2025/12/24 10:00
5,虹口区,121.504994,31.264917,,15.3,晴,2025/12/24 10:00
6,杨浦区,121.525409,31.259588,,15.1,晴,2025/12/24 10:00
7,闵行区,121.380857,31.112834,,14.8,多云,2025/12/24 10:00
8,宝山区,121.489431,31.405242,,14.5,多云,2025/12/24 10:00
9,嘉定区,121.265276,31.375566,,14.7,多云,2025/12/24 10:00
10,浦东新区,121.544346,31.221461,,15.5,晴,2025/12/24 10:00
11,金山区,121.341774,30.742769,,14.3,多云,2025/12/24 10:00
12,松江区,121.227676,31.03257,,14.6,多云,2025/12/24 10:00
13,青浦区,121.124249,31.15098,,14.4,多云,2025/12/24 10:00
14,奉贤区,121.473945,30.918406,,14.2,多云,2025/12/24 10:00
15,崇明区,121.397662,31.623863,,13.8,多云,2025/12/24 10:00
16,徐汇区,121.436307,31.188334,,15.0,多云,2025/12/24 10:00
